filename,patient,rmse,mav,var,energy,mnf,mdf,zc,fr,mav_arr_0,mav_arr_1,mav_arr_2,mav_arr_3,std_0,std_1,std_2,std_3
07-05-31_14-04-13_stroophard.txt,7,0.3688944271103243,0.27029584343253593,0.13608763460754125,4082.4929505916302,230.90753755469635,402.8666666666667,13097,1.4088914340120497,0.07604081834811009,0.33181334251585415,0.3890671422679144,0.20094424403954292,0.13524374157768332,0.5699866660385199,0.674809221703095,0.324497434794399
07-05-31_14-04-13_stroophard.txt,7,0.407685667964114,0.31510018843907467,0.16621314430148917,4986.228115900373,228.6198230456413,408.6333333333333,11901,1.4278545811398093,0.09590377797388183,0.39658033713299234,0.46861051746968296,0.21697495263538902,0.15672075396671187,0.6548638528421766,0.7631727888444317,0.3481568713881812
07-05-31_14-04-13_stroophard.txt,7,0.3870590640088819,0.298181593859478,0.14981971302186578,4494.441570942951,227.41226727791965,408.6666666666667,12060,1.361734883002373,0.08604596204526135,0.37935617403252087,0.44200786635772127,0.20986238811136046,0.14017795565658225,0.6229680300684028,0.7340262438610115,0.3360624610279408
07-05-31_14-04-13_stroophard.txt,7,0.38203328555707866,0.29495769728858096,0.14595429641675028,4378.482938206092,228.50833105644057,408.6,11967,1.4139567934815398,0.083354395030418,0.37134604412951117,0.4397540546097135,0.2053932726505404,0.13610875111152299,0.6051796216328341,0.7253822070050808,0.32899327413498786
07-05-31_14-04-13_stroophard.txt,7,0.38935918790518154,0.29964619564634554,0.1516056307272067,4548.017316185474,222.76852426171823,413.3666666666667,11536,1.425942060935726,0.08510148254428959,0.39101507868613194,0.44943690952553805,0.19691519373438013,0.13836483476311703,0.6326225573248148,0.7419871075765613,0.3168495615993182
07-05-31_14-04-13_stroophard.txt,7,0.3724058823847051,0.2860449896256325,0.13869076426020618,4160.584237041925,213.84059427724003,420.9,11058,1.4211220400843891,0.07711839245157168,0.3750224246730065,0.44036152377233084,0.17721358088876082,0.12580780389245663,0.6055923805351512,0.723259909646712,0.28823910224983856
07-05-31_14-04-13_stroophard.txt,7,0.35263904026908427,0.2657157137724068,0.1243584380031676,3730.628781657025,226.5705114759683,409.6666666666667,12265,1.3595896911226364,0.06887351981962408,0.3418963634567444,0.39015561431714857,0.18763617961488252,0.11468906856623164,0.5680706133326046,0.6585436540566013,0.3012674279497908
07-05-24_15-15-02_stroophard.txt,7,0.5355360152034406,0.3265236176338013,0.2868083838594418,8603.964707399395,223.52979172587044,408.3,13154,1.4497310379315334,0.08075296413522792,0.4168066888043508,0.45647206958867925,0.24526425718169173,0.16996621917964322,0.8475435687481992,0.9098872499780271,0.43263129675647244
07-05-24_15-15-02_stroophard.txt,7,0.32558810808183763,0.257791956370302,0.10601114982930471,3180.228483729312,252.7936602891175,387.56666666666666,14044,1.2182443435155847,0.055444460075275016,0.2726331743490099,0.34609114754561643,0.2265257714723497,0.09033956443793753,0.45561357174557154,0.5622191891713477,0.3620424843395272
07-05-24_15-15-02_stroophard.txt,7,0.33822365999601844,0.2675179451517934,0.11439905748301837,3431.857325433068,258.12110351886435,383.4,14576,1.1394727887357818,0.05534206895206587,0.27126606061168984,0.34905600026055267,0.24785036352172787,0.08927781902779808,0.4513037209926438,0.567391605850485,0.3958836477851748
07-05-24_15-15-02_stroophard.txt,7,0.34078775349106355,0.2690028723909675,0.11614016426829483,3484.0887878845765,259.9442357584046,381.3,14840,1.129873426857227,0.058489890344526695,0.28670181740680545,0.34192693098710586,0.2515579905509198,0.09395108645198798,0.46746980135589106,0.5635088623666779,0.40015394836350054
07-05-24_15-15-02_stroophard.txt,7,0.33090805996150696,0.2613259982735611,0.10950379427396409,3285.0043244246485,256.21509345763815,383.6333333333333,14289,1.186791430683621,0.057343448646954544,0.2828720798830623,0.3443388806267378,0.2345078629539034,0.09219227879815697,0.46365806948697974,0.5597295087466029,0.3770260803847889
07-05-24_15-15-02_stroophard.txt,7,0.32034174616006555,0.2525162526399014,0.10262225507471569,3078.565029986396,253.03923535622917,386.6666666666667,13734,1.2223827667354117,0.056289307870372854,0.2705784306323293,0.3421839528214137,0.21955403586298994,0.09181158950089079,0.4457041331295246,0.5564492891768563,0.3525945287727626
